,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Anolis_richardii,25.95233345,Oviparous,Anolis_richardii,Anolis,Dactyloidae,71.3,30,-4.574,2.942,205.1906,83.686,1,1,1,1,-61.64,12.2,Diurnal
Anolis_roquet,26.24299987,Oviparous,Anolis_roquet,Anolis,Dactyloidae,52.3,22,-4.574,2.942,149.2926,60.15,2,1,1,1,-61.02,14.65,Diurnal
Anolis_sagrei,24.78433323,Oviparous,Anolis_sagrei,Anolis,Dactyloidae,47.7,16,-4.574,2.942,135.7594,42.498,2,1,2,1,-83.13,22.88,Diurnal
Anolis_scypheus,25.78266668,Oviparous,Anolis_scypheus,Anolis,Dactyloidae,73,29.5,-4.574,2.942,210.192,82.215,2,1,1,1,-73.77,-0.69,Diurnal
Anolis_semilineatus,23.55999978,Oviparous,Anolis_semilineatus,Anolis,Dactyloidae,36.1,17,-4.574,2.942,101.6322,45.44,1,1,1,1,-71.23,18.91,Diurnal
Anolis_smallwoodi,25.65166696,Oviparous,Anolis_smallwoodi,Anolis,Dactyloidae,135.3,46.1,-4.574,2.942,393.4786,131.0522,1,1,1,1,-75.05,20.15,Diurnal
Anolis_tandai,26.14333359,Oviparous,Anolis_tandai,Anolis,Dactyloidae,65.2,27.5,-4.574,2.942,187.2444,76.331,1,1,1,1,-65.21,-7.07,Diurnal
Anolis_taylori,26.99852943,Oviparous,Anolis_taylori,Anolis,Dactyloidae,57,32,-4.574,2.942,163.12,89.57,1,1,1,1,-99.86,16.86,Diurnal
Anolis_tolimensis,26.83566666,Oviparous,Anolis_tolimensis,Anolis,Dactyloidae,51.9,24.3,-4.574,2.942,148.1158,66.9166,2,1,1.1,1.1,-74.81,4.79,Diurnal
Anolis_trachyderma,26.43133338,Oviparous,Anolis_trachyderma,Anolis,Dactyloidae,53.8,25.5,-4.574,2.942,153.7056,70.447,2,1,2,1,-70.78,-3.99,Diurnal
Anolis_transversalis,25.99499973,Oviparous,Anolis_transversalis,Anolis,Dactyloidae,77.1,38,-4.574,2.942,222.2542,107.222,1,1,1,1,-68.88,-4.84,Diurnal
Anolis_trinitatis,23.78899972,Oviparous,Anolis_trinitatis,Anolis,Dactyloidae,45.5,18.8,-4.574,2.942,129.287,50.7356,2,1,1,1,-61.19,13.25,Diurnal
Anolis_tropidolepis,20.09266663,Oviparous,Anolis_tropidolepis,Anolis,Dactyloidae,50.8,20.5,-4.574,2.942,144.8796,55.737,1,1,1,1,-84.09,10.01,Diurnal
Anolis_valencienni,23.14699984,Oviparous,Anolis_valencienni,Anolis,Dactyloidae,59.9,23.3,-4.574,2.942,171.6518,63.9746,1,1,1,1,-77.31,18.16,Diurnal
Anolis_woodi,10.66799998,Oviparous,Anolis_woodi,Anolis,Dactyloidae,75.4,31,-4.574,2.942,217.2528,86.628,1,1,1,1,-83.75,9.62,Diurnal
Anomalopus_swansoni,16.91033308,Viviparous,Anomalopus_swansoni,Anomalopus,Scincidae,101.5,44,-5.125,3.229,322.6185,136.951,3,2,2.5,2.5,151.16,-32.93,Diurnal
Anotosaura_vanzolinia,20.72399982,Oviparous,Anotosaura_vanzolinia,Anotosaura,Gymnophthalmidae,45.5,19.1,-4.207,2.3,100.443,39.723,2,1,2,1.9,-36.83,-8.23,Diurnal
Aphaniotis_acutirostris,22.53400024,Oviparous,Aphaniotis_acutirostris,Aphaniotis,Agamidae,50.3,23,-4.686,3.105,151.4955,66.729,2,2,2,2,99.47,0.59,Diurnal
Aphaniotis_fusca,26.49499973,Oviparous,Aphaniotis_fusca,Aphaniotis,Agamidae,63.5,23,-4.686,3.105,192.4815,66.729,2,1,1,1,108.67,0.78,Diurnal
Aprasia_inaurita,17.36033312,Oviparous,Aprasia_inaurita,Aprasia,Pygopodidae,115.6,47,-2.039,1.371,156.4486,62.398,2,2,2,2,135.14,-32.96,Cathemeral
Aprasia_pulchella,16.10366654,Oviparous,Aprasia_pulchella,Aprasia,Pygopodidae,110.7,46,-2.039,1.371,149.7307,61.027,2,2,2,2,117.11,-33.6,Cathemeral
Aristelliger_cochranae,23.49466658,Oviparous,Aristelliger_cochranae,Aristelliger,Sphaerodactylidae,44,20.6,-4.558,2.97,126.122,56.624,1,1,1,1,-72.28,18.8,Cathemeral
Aristelliger_praesignis,21.72533321,Oviparous,Aristelliger_praesignis,Aristelliger,Sphaerodactylidae,58.1,23,-4.558,2.97,167.999,63.752,1,1,1,1,-77.37,18.18,Cathemeral
Arthrosaura_reticulata,26.7480003,Oviparous,Arthrosaura_reticulata,Arthrosaura,Gymnophthalmidae,56.5,23,-4.207,2.3,125.743,48.693,2,1,2,2,-61.62,-3.75,Diurnal
Asaccus_andersoni,15.88866659,Oviparous,Asaccus_andersoni,Asaccus,Phyllodactylidae,56.9,25.4,-4.482,2.945,163.0885,70.321,1,1,1,1,46.23,33.92,Cathemeral
Aspidoscelis_burti,19.19099991,Oviparous,Aspidoscelis_burti,Aspidoscelis,Teiidae,102.2,33,-4.747,3.11,313.095,97.883,10,1,4.3,4.3,-110.26,29.57,Diurnal
Aspidoscelis_costatus,18.57699998,Oviparous,Aspidoscelis_costatus,Aspidoscelis,Teiidae,78.6,33.5,-4.747,3.11,239.699,99.438,8,1,4.3,2.4,-104.38,22.57,Diurnal
Aspidoscelis_cozumelus,25.00566641,Oviparous,Aspidoscelis_cozumelus,Aspidoscelis,Teiidae,63.5,28.2,-4.747,3.11,192.738,82.955,4,1,1.8,1.7,-89.1,17.47,Diurnal
Aspidoscelis_deppii,23.34166686,Oviparous,Aspidoscelis_deppii,Aspidoscelis,Teiidae,67.4,30.5,-4.747,3.11,204.867,90.108,4,1,3,1.6,-93.54,16.49,Diurnal
Aspidoscelis_exsanguis,17.86899996,Oviparous,Aspidoscelis_exsanguis,Aspidoscelis,Teiidae,80.6,34.8,-4.747,3.11,245.919,103.481,7,1,4.4,2.7,-106.38,31.72,Diurnal
Aspidoscelis_gularis,20.42433349,Oviparous,Aspidoscelis_gularis,Aspidoscelis,Teiidae,77.4,32.5,-4.747,3.11,235.967,96.328,8,1,5,2.4,-100.92,28.19,Diurnal
Aspidoscelis_guttatus,13.80700008,Oviparous,Aspidoscelis_guttatus,Aspidoscelis,Teiidae,92.7,35,-4.747,3.11,283.55,104.103,5,1,4.5,4.5,-96.79,17.41,Diurnal
Aspidoscelis_hyperythrus,18.84933352,Oviparous,Aspidoscelis_hyperythrus,Aspidoscelis,Teiidae,58.3,27.5,-4.747,3.11,176.566,80.778,4,1,2.3,2.3,-113.86,28.61,Diurnal
Aspidoscelis_inornatus,18.06666644,Oviparous,Aspidoscelis_inornatus,Aspidoscelis,Teiidae,54.9,31.5,-4.747,3.11,165.992,93.218,6,1,3.3,2,-104.17,29.13,Diurnal
Aspidoscelis_laredoensis,22.95033352,Oviparous,Aspidoscelis_laredoensis,Aspidoscelis,Teiidae,72.9,32.5,-4.747,3.11,221.972,96.328,7,1,4.2,2.6,-99.35,27.31,Diurnal
Aspidoscelis_lineattissimus,20.57499981,Oviparous,Aspidoscelis_lineattissimus,Aspidoscelis,Teiidae,77.8,32.5,-4.747,3.11,237.211,96.328,9,1,4.8,3.8,-103.78,19.62,Diurnal
Aspidoscelis_marmoratus,17.22633338,Oviparous,Aspidoscelis_marmoratus,Aspidoscelis,Teiidae,79.6,34.5,-4.747,3.11,242.809,102.548,5,1,3.3,2,-103.93,29.89,Diurnal
Aspidoscelis_neomexicanus,12.98766671,Oviparous,Aspidoscelis_neomexicanus,Aspidoscelis,Teiidae,67.5,33.8,-4.747,3.11,205.178,100.371,4,1,2.3,1.6,-106.79,33.12,Diurnal
