,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Sceloporus_malachiticus,Viviparous,Sceloporus_malachiticus,Sceloporus,Phrynosomatidae,70.2,28,-3.855,2.677,184.070,71.101,10,2,6,4.5,-87.4,13.52,Diurnal,28.6,33.3
Sceloporus_merriami,Oviparous,Sceloporus_merriami,Sceloporus,Phrynosomatidae,47.7,22,-3.855,2.677,123.838,55.039,7,2,4.5,3.7,-102.83,28.74,Diurnal,32.2,37
Sceloporus_mucronatus,Viviparous,Sceloporus_mucronatus,Sceloporus,Phrynosomatidae,81.9,27.5,-3.855,2.677,215.391,69.763,13,2,6.5,2.9,-98.3,18.52,Diurnal,29,31.5
Sceloporus_occidentalis,Oviparous,Sceloporus_occidentalis,Sceloporus,Phrynosomatidae,72.9,24,-3.855,2.677,191.298,60.393,17,3,13.7,6.5,-118.4,40.31,Diurnal,30.4,35.9
Sceloporus_ochoterenae,Oviparous,Sceloporus_ochoterenae,Sceloporus,Phrynosomatidae,45.3,22,-3.855,2.677,117.413,55.039,9,3,8.3,4.2,-99.28,18.35,Diurnal,33.7,34.1
Sceloporus_olivaceus,Oviparous,Sceloporus_olivaceus,Sceloporus,Phrynosomatidae,90.9,24.4,-3.855,2.677,239.484,61.464,34,8,24.5,11.3,-99.16,28.8,Diurnal,31,36.5
Sceloporus_orcutti,Oviparous,Sceloporus_orcutti,Sceloporus,Phrynosomatidae,90.9,32.5,-3.855,2.677,239.484,83.148,15,3,11,9.2,-114.43,29.63,Diurnal,26.8,35.9
Sceloporus_poinsettii,Viviparous,Sceloporus_poinsettii,Sceloporus,Phrynosomatidae,97.4,32,-3.855,2.677,256.885,81.809,23,4,13.6,8.3,-103.91,28.04,Diurnal,30,34.2
Sceloporus_scalaris,Mixed,Sceloporus_scalaris,Sceloporus,Phrynosomatidae,55.2,20,-3.855,2.677,143.915,49.685,15,3,10.6,5.8,-102.35,22.48,Diurnal,31.1,35.8
Sceloporus_siniferus,Oviparous,Sceloporus_siniferus,Sceloporus,Phrynosomatidae,49.1,26,-3.855,2.677,127.586,65.747,9,2,6,4.9,-97.81,17.07,Diurnal,36.2,36.2
Sceloporus_slevini,Oviparous,Sceloporus_slevini,Sceloporus,Phrynosomatidae,48.5,20,-3.855,2.677,125.980,49.685,14,3,8.5,8.5,-107.55,28.38,Diurnal,31,32.6
Sceloporus_spinosus,Oviparous,Sceloporus_spinosus,Sceloporus,Phrynosomatidae,82.3,26.7,-3.855,2.677,216.462,67.621,31,6,18.5,9.2,-100.3,21.31,Diurnal,33.5,33.5
Sceloporus_torquatus,Viviparous,Sceloporus_torquatus,Sceloporus,Phrynosomatidae,91.4,28.2,-3.855,2.677,240.823,71.636,17,3,9.7,6.4,-101.45,21.69,Diurnal,33,33
Sceloporus_tristichus,Oviparous,Sceloporus_tristichus,Sceloporus,Phrynosomatidae,63.9,24,-3.855,2.677,167.205,60.393,12,5,7.2,7.2,-109.23,34.96,Diurnal,33,33
Sceloporus_undulatus,Oviparous,Sceloporus_undulatus,Sceloporus,Phrynosomatidae,62.5,24.5,-3.855,2.677,163.458,61.732,17,3,14,4.3,-95.83,34.64,Diurnal,27.9,37
Sceloporus_variabilis,Oviparous,Sceloporus_variabilis,Sceloporus,Phrynosomatidae,54.2,25.3,-3.855,2.677,141.238,63.873,7,1,4.7,3,-95.01,20.79,Diurnal,28.9,36.9
Sceloporus_virgatus,Oviparous,Sceloporus_virgatus,Sceloporus,Phrynosomatidae,55,21.5,-3.855,2.677,143.380,53.701,18,3,10.2,9.5,-108.21,28.94,Diurnal,33,35
Sceloporus_woodi,Oviparous,Sceloporus_woodi,Sceloporus,Phrynosomatidae,55,21,-3.855,2.677,143.380,52.362,8,2,5.5,4.1,-81.21,27.87,Diurnal,36.2,36.2
Scincella_cherriei,Oviparous,Scincella_cherriei,Scincella,Scincidae,52.9,20.5,-5.125,3.229,165.689,61.070,4,1,3,2,-88.61,15.85,Diurnal,26,28
Scincella_lateralis,Oviparous,Scincella_lateralis,Scincella,Scincidae,45.2,19.5,-5.125,3.229,140.826,57.841,7,1,3.8,2.4,-89.34,33.9,Diurnal,28.5,29.2
Scincella_modesta,Oviparous,Scincella_modesta,Scincella,Scincidae,51.7,17.9,-5.125,3.229,161.814,52.674,16,2,9.1,6,113.95,27.61,Diurnal,28.5,28.5
Sitana_ponticeriana,Oviparous,Sitana_ponticeriana,Sitana,Agamidae,52,15,-4.686,3.105,156.774,41.889,23,4,17.4,11.2,79.76,10.42,Diurnal,34.3,34.5
Sphaerodactylus_roosevelti,Oviparous,Sphaerodactylus_roosevelti,Sphaerodactylus,Sphaerodactylidae,35,19.5,-4.558,2.97,99.392,53.357,1,1,1,1,-66.83,17.99,Nocturnal,32.8,32.8
Sphaerodactylus_townsendi,Oviparous,Sphaerodactylus_townsendi,Sphaerodactylus,Sphaerodactylidae,25.8,12.5,-4.558,2.97,72.068,32.567,1,1,1,1,-66.01,18.1,Diurnal,31,31
Sphenomorphus_maculatus,Oviparous,Sphenomorphus_maculatus,Sphenomorphus,Scincidae,56.3,30,-5.125,3.229,176.668,91.745,6,2,4,3.7,97.69,21.11,Diurnal,32.1,32.1
Stellagama_stellio,Oviparous,Stellagama_stellio,Stellagama,Agamidae,105.8,31,-4.686,3.105,323.823,91.569,20,3,10.2,7.7,35.38,34.05,Diurnal,32,36
Stenocercus_guentheri,Oviparous,Stenocercus_guentheri,Stenocercus,Tropiduridae,63.8,20,-3.884,2.719,169.588,50.496,2,2,2,2,-78.34,-0.36,Diurnal,31.9,31.9
Stenodactylus_doriae,Oviparous,Stenodactylus_doriae,Stenodactylus,Gekkonidae,63.2,28,-4.242,2.761,170.253,73.066,2,1,2,1.6,46.44,23.69,Nocturnal,18.2,28.2
