,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Ctenophorus_nuchalis,Oviparous,Ctenophorus_nuchalis,Ctenophorus,Agamidae,82.8,34,-4.686,3.105,252.408,100.884,6,2,4.1,3.2,131.29,-24.49,Diurnal,35.7,43.8
Ctenophorus_ornatus,Oviparous,Ctenophorus_ornatus,Ctenophorus,Agamidae,79.8,35,-4.686,3.105,243.093,103.989,6,2,3.8,2.5,118.47,-31.63,Diurnal,36.6,39.5
Ctenophorus_reticulatus,Oviparous,Ctenophorus_reticulatus,Ctenophorus,Agamidae,71.7,23,-4.686,3.105,217.943,66.729,8,2,4.6,4,123.79,-27.35,Diurnal,34,37
Ctenophorus_scutulatus,Oviparous,Ctenophorus_scutulatus,Ctenophorus,Agamidae,86.4,29,-4.686,3.105,263.586,85.359,10,3,6.8,3.5,119.51,-28.22,Diurnal,38.9,38.9
Ctenosaura_similis,Oviparous,Ctenosaura_similis,Ctenosaura,Iguanidae,305,53.5,-4.298,2.972,902.162,154.704,88,12,43.4,22,-87.71,14.76,Diurnal,36.5,36.5
Ctenotus_ariadnae,Oviparous,Ctenotus_ariadnae,Ctenotus,Scincidae,64.3,29,-5.125,3.229,202.500,88.516,5,3,3.5,3.3,129.46,-24.64,Diurnal,35.8,36.3
Ctenotus_atlas,Oviparous,Ctenotus_atlas,Ctenotus,Scincidae,70,31,-5.125,3.229,220.905,94.974,2,1,1.5,1.5,129.52,-30.09,Diurnal,34.5,36.8
Ctenotus_brooksi,Oviparous,Ctenotus_brooksi,Ctenotus,Scincidae,46.3,21,-5.125,3.229,144.378,62.684,3,1,2.5,1.8,132.3,-27.12,Diurnal,30.6,31.2
Ctenotus_calurus,Oviparous,Ctenotus_calurus,Ctenotus,Scincidae,47,25,-5.125,3.229,146.638,75.600,4,1,2.7,1.8,125.96,-24.32,Diurnal,35.6,36.4
Ctenotus_dux,Oviparous,Ctenotus_dux,Ctenotus,Scincidae,66.5,29,-5.125,3.229,209.604,88.516,3,2,2.8,2.6,129.15,-25.25,Diurnal,32,33
Ctenotus_grandis,Oviparous,Ctenotus_grandis,Ctenotus,Scincidae,99.5,33,-5.125,3.229,316.161,101.432,4,4,4,4,124.4,-23.46,Diurnal,34.2,35.3
Ctenotus_leonhardii,Oviparous,Ctenotus_leonhardii,Ctenotus,Scincidae,71.5,29,-5.125,3.229,225.749,88.516,7,1,5.6,2,132.68,-25.32,Diurnal,37.6,38.4
Ctenotus_nasutus,Oviparous,Ctenotus_nasutus,Ctenotus,Scincidae,44.2,22.5,-5.125,3.229,137.597,67.528,4,1,4,1.8,125.19,-25.75,Diurnal,36.6,36.6
Ctenotus_pantherinus,Oviparous,Ctenotus_pantherinus,Ctenotus,Scincidae,80.5,32,-5.125,3.229,254.810,98.203,11,3,6.6,3.6,131.07,-23.88,Cathemeral,33.1,34.1
Ctenotus_piankai,Oviparous,Ctenotus_piankai,Ctenotus,Scincidae,52.4,26,-5.125,3.229,164.075,78.829,5,1,3,2.5,124.23,-24.54,Diurnal,34.7,37.5
Ctenotus_quattuordecimlineatus,Oviparous,Ctenotus_quattuordecimlineatus,Ctenotus,Scincidae,61.1,29.5,-5.125,3.229,192.167,90.131,4,2,3.6,3,127.93,-23.44,Diurnal,35.7,36.1
Ctenotus_regius,Oviparous,Ctenotus_regius,Ctenotus,Scincidae,60,29,-5.125,3.229,188.615,88.516,4,1,3,2,139.43,-28.47,Diurnal,36.4,36.4
Ctenotus_robustus,Oviparous,Ctenotus_robustus,Ctenotus,Scincidae,98.6,36,-5.125,3.229,313.254,111.119,9,3,6,4,141.6,-25.36,Diurnal,34.4,35
Ctenotus_schomburgkii,Oviparous,Ctenotus_schomburgkii,Ctenotus,Scincidae,43.5,21.5,-5.125,3.229,135.337,64.299,4,1,3,2,128.68,-27.06,Diurnal,33.3,33.4
Ctenotus_taeniolatus,Oviparous,Ctenotus_taeniolatus,Ctenotus,Scincidae,69.2,30,-5.125,3.229,218.322,91.745,7,1,4.6,3,148.36,-26.49,Diurnal,25,35.3
Cyclodomorphus_branchialis,Viviparous,Cyclodomorphus_branchialis,Cyclodomorphus,Scincidae,91.3,42,-5.125,3.229,289.683,130.493,5,2,3,3,115.74,-28.57,Cathemeral,34.7,34.7
Cyclodomorphus_casuarinae,Viviparous,Cyclodomorphus_casuarinae,Cyclodomorphus,Scincidae,123.7,43.3,-5.125,3.229,394.302,134.691,19,2,7.6,4,146.59,-41.94,Cathemeral,27.1,32.6
Cyclodomorphus_melanops,Viviparous,Cyclodomorphus_melanops,Cyclodomorphus,Scincidae,95.2,41.3,-5.125,3.229,302.276,128.233,4,1,3,2.4,127.82,-25.19,Cathemeral,34.8,34.8
Cyclura_carinata,Oviparous,Cyclura_carinata,Cyclura,Iguanidae,228.6,79.8,-4.298,2.972,675.101,232.868,9,2,4.3,4.3,-71.73,21.73,Diurnal,36.7,38.6
Cyclura_nubila,Oviparous,Cyclura_nubila,Cyclura,Iguanidae,352.5,102.5,-4.298,2.972,1043.332,300.332,30,2,15,5.6,-79.2,21.67,Diurnal,38.6,38.6
Cyclura_pinguis,Oviparous,Cyclura_pinguis,Cyclura,Iguanidae,457,97.5,-4.298,2.972,1353.906,285.472,20,7,14,10.6,-64.34,18.73,Diurnal,35.3,35.3
Cyrtodactylus_soba,Oviparous,Cyrtodactylus_soba,Cyrtodactylus,Gekkonidae,97.7,39.5,-4.242,2.761,265.508,104.818,2,2,2,2,80.77,7.39,Nocturnal,25.6,25.6
Cyrtodactylus_triedrus,Oviparous,Cyrtodactylus_triedrus,Cyrtodactylus,Gekkonidae,51,23,-4.242,2.761,136.569,59.261,2,2,2,2,80.8,7.05,Nocturnal,23.4,23.4
Dalmatolacerta_oxycephala,Oviparous,Dalmatolacerta_oxycephala,Dalmatolacerta,Lacertidae,57.9,23.4,-4.543,2.951,166.320,64.510,6,2,3.5,3.3,17.64,43.27,Diurnal,31.6,34.6
Darevskia_praticola,Oviparous,Darevskia_praticola,Darevskia,Lacertidae,51.1,22.5,-4.543,2.951,146.253,61.855,7,2,5.7,4,45.42,42.09,Diurnal,29,29
Delma_butleri,Oviparous,Delma_butleri,Delma,Pygopodidae,82.6,36,-2.039,1.371,111.206,47.317,2,2,2,2,129.25,-27.38,Cathemeral,31.7,31.7
Delma_fraseri,Oviparous,Delma_fraseri,Delma,Pygopodidae,110.7,44.5,-2.039,1.371,149.731,58.971,2,2,2,2,119.68,-31.73,Cathemeral,31.7,31.7
Dinarolacerta_mosorensis,Oviparous,Dinarolacerta_mosorensis,Dinarolacerta,Lacertidae,63.9,25.5,-4.543,2.951,184.026,70.708,8,2,5.2,4.3,18.24,43.05,Diurnal,34,34
Diplodactylus_conspicillatus,Oviparous,Diplodactylus_conspicillatus,Diplodactylus,Diplodactylidae,58.5,25.5,-4.804,3.057,174.031,73.150,2,1,2,2,131.55,-24,Nocturnal,27.7,34.3
Diplodactylus_granariensis,Oviparous,Diplodactylus_granariensis,Diplodactylus,Diplodactylidae,57.8,22.8,-4.804,3.057,171.891,64.896,2,2,2,2,118.26,-30.93,Nocturnal,20.9,20.9
Diplodactylus_pulcher,Oviparous,Diplodactylus_pulcher,Diplodactylus,Diplodactylidae,53,26.5,-4.804,3.057,157.217,76.207,2,1,2,1.8,120.83,-27.89,Nocturnal,27.4,28.2
Diplodactylus_tessellatus,Oviparous,Diplodactylus_tessellatus,Diplodactylus,Diplodactylidae,54.1,23,-4.804,3.057,160.580,65.507,2,2,2,2,140.52,-26.58,Nocturnal,25,25
Diporiphora_amphiboluroides,Oviparous,Diporiphora_amphiboluroides,Diporiphora,Agamidae,87.9,38,-4.686,3.105,268.244,113.304,12,12,12,12,120.07,-26.73,Diurnal,36.6,36.6
Diporiphora_paraconvergens,Oviparous,Diporiphora_paraconvergens,Diporiphora,Agamidae,56.5,31.5,-4.686,3.105,170.747,93.122,3,3,3,3,125.22,-23.21,Diurnal,33.7,34
Diporiphora_winneckei,Oviparous,Diporiphora_winneckei,Diporiphora,Agamidae,59.7,21,-4.686,3.105,180.683,60.519,7,1,3,3,129.07,-24.59,Diurnal,32.9,37.7
Dipsosaurus_dorsalis,Oviparous,Dipsosaurus_dorsalis,Dipsosaurus,Iguanidae,114,45.5,-4.298,2.972,334.510,130.928,8,2,5.5,3.5,-113.6,31.79,Diurnal,37.1,42.1
Draco_volans,Oviparous,Draco_volans,Draco,Agamidae,78,26.5,-4.686,3.105,237.504,77.597,7,1,4.5,4.5,110.24,-7.35,Diurnal,27.9,30.6
Egernia_depressa,Viviparous,Egernia_depressa,Egernia,Scincidae,104.6,56,-5.125,3.229,332.628,175.699,3,2,2,2,121.88,-24.8,Diurnal,33.9,34.2
Egernia_stokesii,Viviparous,Egernia_stokesii,Egernia,Scincidae,182.3,75.5,-5.125,3.229,583.522,238.665,8,1,5.8,3,132.72,-27.05,Diurnal,29.3,36
Egernia_striolata,Viviparous,Egernia_striolata,Egernia,Scincidae,107,50.5,-5.125,3.229,340.378,157.940,6,2,4.3,3.3,146.04,-28.47,Diurnal,30.2,32.7
Elgaria_coerulea,Viviparous,Elgaria_coerulea,Elgaria,Anguidae,91.9,30.5,-5.224,2.892,260.551,82.982,15,2,7,3.8,-120.43,46.37,Diurnal,15.8,26.5
Elgaria_kingii,Oviparous,Elgaria_kingii,Elgaria,Anguidae,109,33,-5.224,2.892,310.004,90.212,15,9,12,12,-108.07,29.04,Diurnal,34,34.3
Elgaria_multicarinata,Oviparous,Elgaria_multicarinata,Elgaria,Anguidae,119.7,31,-5.224,2.892,340.948,84.428,41,1,13,8.8,-120.02,37.28,Cathemeral,21,28
Elgaria_paucicarinata,Oviparous,Elgaria_paucicarinata,Elgaria,Anguidae,91,40,-5.224,2.892,257.948,110.456,8,6,7,7,-109.98,23.59,Diurnal,25.4,25.4
Emoia_cyanura,Oviparous,Emoia_cyanura,Emoia,Scincidae,46.4,21.5,-5.125,3.229,144.701,64.299,2,1,2,2,137.9,-13.78,Diurnal,30.6,36.6
Emoia_nigra,Oviparous,Emoia_nigra,Emoia,Scincidae,102.4,35,-5.125,3.229,325.525,107.890,5,2,2.9,2.3,142.21,-11.9,Diurnal,30.6,32.5
Emoia_oriva,Oviparous,Emoia_oriva,Emoia,Scincidae,81.6,35.7,-5.125,3.229,258.361,110.150,2,2,2,2,177.07,-12.5,Diurnal,30.9,30.9
Enyalioides_laticeps,Oviparous,Enyalioides_laticeps,Enyalioides,Hoplocercidae,114.6,43,-5.033,3.243,366.615,134.416,11,5,6.3,6.2,-73.13,-3.72,Diurnal,25,25
Eremias_argus,Oviparous,Eremias_argus,Eremias,Lacertidae,57.2,27.5,-4.543,2.951,164.254,76.610,6,2,3.5,3,115.33,42.4,Diurnal,37.5,37.5
Eremias_arguta,Oviparous,Eremias_arguta,Eremias,Lacertidae,72,30,-4.543,2.951,207.929,83.987,12,1,4.5,3,60.98,47.46,Diurnal,30.2,30.2
Eremias_multiocellata,Viviparous,Eremias_multiocellata,Eremias,Lacertidae,58.5,26.2,-4.543,2.951,168.091,72.773,5,1,3.4,2.3,97.1,41.7,Diurnal,36.6,36.6
Eremiascincus_fasciolatus,Oviparous,Eremiascincus_fasciolatus,Eremiascincus,Scincidae,69.1,34,-5.125,3.229,217.999,104.661,8,2,3.9,3.9,150.71,-25.26,Nocturnal,28.1,28.1
Eremiascincus_richardsonii,Oviparous,Eremiascincus_richardsonii,Eremiascincus,Scincidae,86.3,32.5,-5.125,3.229,273.538,99.818,8,1,5.5,4.5,131.93,-25.57,Nocturnal,26.2,26.2
Eulamprus_quoyii,Viviparous,Eulamprus_quoyii,Eulamprus,Scincidae,102.7,38.6,-5.125,3.229,326.493,119.514,10,2,6.7,4,148.72,-28.84,Diurnal,28.1,30
Eulamprus_tympanum,Viviparous,Eulamprus_tympanum,Eulamprus,Scincidae,88.1,35.5,-5.125,3.229,279.350,109.505,9,1,3.9,2.7,145.61,-36.77,Diurnal,26.1,31.5
Eutropis_multifasciata,Viviparous,Eutropis_multifasciata,Eutropis,Scincidae,104.4,38,-5.125,3.229,331.983,117.577,10,1,6,3.8,106.65,14.85,Diurnal,30.8,33.7
Gallotia_atlantica,Oviparous,Gallotia_atlantica,Gallotia,Lacertidae,61,30.1,-4.543,2.951,175.468,84.282,6,1,2.7,1.7,-13.94,28.6,Diurnal,32.9,33.8
Gallotia_caesaris,Oviparous,Gallotia_caesaris,Gallotia,Lacertidae,73,33.2,-4.543,2.951,210.880,93.430,5,1,3.8,2.5,-17.56,27.95,Diurnal,35.3,35.7
Gallotia_galloti,Oviparous,Gallotia_galloti,Gallotia,Lacertidae,87.7,37.5,-4.543,2.951,254.260,106.120,9,2,5.2,3,-16.89,28.39,Diurnal,31.6,33.5
Gallotia_simonyi,Oviparous,Gallotia_simonyi,Gallotia,Lacertidae,159.7,51,-4.543,2.951,466.732,145.958,13,4,11.7,8.6,-18.03,27.72,Diurnal,33.2,35.6
Gallotia_stehlini,Oviparous,Gallotia_stehlini,Gallotia,Lacertidae,185.9,43.5,-4.543,2.951,544.048,123.826,16,4,10.3,9.8,-15.39,28,Diurnal,33.5,33.7
Gambelia_sila,Oviparous,Gambelia_sila,Gambelia,Crotaphytidae,97.5,45,-1.528,1.569,151.450,69.077,6,1,3.4,2.9,-120.06,36.12,Diurnal,38,39.2
Gambelia_wislizenii,Oviparous,Gambelia_wislizenii,Gambelia,Crotaphytidae,110.5,44,-1.528,1.569,171.847,67.508,14,1,7.6,2.7,-112.18,35.5,Diurnal,37.3,39.3
Gehyra_punctata,Oviparous,Gehyra_punctata,Gehyra,Gekkonidae,49.3,23,-4.242,2.761,131.875,59.261,2,1,2,1,118.64,-25.4,Nocturnal,20.6,34.6
Gehyra_variegata,Oviparous,Gehyra_variegata,Gehyra,Gekkonidae,49.3,23,-4.242,2.761,131.875,59.261,2,1,1,1,136.59,-28.92,Nocturnal,20.1,35.3
Gerrhonotus_parvus,Oviparous,Gerrhonotus_parvus,Gerrhonotus,Anguidae,75.3,25,-5.224,2.892,212.544,67.076,8,4,7,7,-100.13,25.07,Diurnal,21.5,21.5
Gerrhosaurus_flavigularis,Oviparous,Gerrhosaurus_flavigularis,Gerrhosaurus,Gerrhosauridae,131,46.8,-4.783,3.085,399.352,139.595,8,3,5,4,31.73,-17.56,Diurnal,33.3,33.3
Gonatodes_albogularis,Oviparous,Gonatodes_albogularis,Gonatodes,Sphaerodactylidae,40.7,18.3,-4.558,2.97,116.321,49.793,2,1,2,1,-78.25,10.2,Diurnal,27.2,27.2
Gonatodes_concinnatus,Oviparous,Gonatodes_concinnatus,Gonatodes,Sphaerodactylidae,42,18.5,-4.558,2.97,120.182,50.387,1,1,1,1,-72.66,0.46,Diurnal,26.4,29
Gonatodes_hasemani,Oviparous,Gonatodes_hasemani,Gonatodes,Sphaerodactylidae,41.6,21.7,-4.558,2.97,118.994,59.891,1,1,1,1,-64.62,-8.71,Diurnal,30.6,30.6
Gonatodes_humeralis,Oviparous,Gonatodes_humeralis,Gonatodes,Sphaerodactylidae,35.3,17,-4.558,2.97,100.283,45.932,2,1,1.7,1,-60.83,-4.82,Diurnal,28.4,30.3
Goniurosaurus_kuroiwae,Oviparous,Goniurosaurus_kuroiwae,Goniurosaurus,Eublepharidae,87.7,34,-5.201,3.255,280.263,105.469,2,2,2,2,128.06,26.7,Nocturnal,25.5,26.4
Gonocephalus_liogaster,Oviparous,Gonocephalus_liogaster,Gonocephalus,Agamidae,113,33.5,-4.686,3.105,346.179,99.332,4,1,3.2,3,113.25,2.7,Diurnal,25.7,25.7
Gowidon_longirostris,Oviparous,Gowidon_longirostris,Gowidon,Agamidae,92.1,28.5,-4.686,3.105,281.285,83.807,15,3,5.5,3.9,125.59,-24.52,Diurnal,33.7,37.1
Gowidon_temporalis,Oviparous,Gowidon_temporalis,Gowidon,Agamidae,84.9,37,-4.686,3.105,258.929,110.199,8,2,4.5,4.5,134.9,-13.35,Diurnal,27.2,34
Gymnodactylus_amarali,Oviparous,Gymnodactylus_amarali,Gymnodactylus,Phyllodactylidae,44.5,20,-4.482,2.945,126.571,54.418,2,1,1.8,1.7,-47.57,-12.48,Nocturnal,30.2,31.3
Gymnodactylus_geckoides,Oviparous,Gymnodactylus_geckoides,Gymnodactylus,Phyllodactylidae,40.2,20.3,-4.482,2.945,113.907,55.302,2,1,2,1,-39.39,-9.12,Cathemeral,30.2,33.5
Heliobolus_lugubris,Oviparous,Heliobolus_lugubris,Heliobolus,Lacertidae,58.9,20.5,-4.543,2.951,169.271,55.953,6,1,3.9,3.4,21.32,-20.86,Diurnal,37.5,38.6
Hellenolacerta_graeca,Oviparous,Hellenolacerta_graeca,Hellenolacerta,Lacertidae,77.5,28.5,-4.543,2.951,224.160,79.561,6,1,4,3,22.27,37.5,Diurnal,29.3,33.4
Heloderma_horridum,Oviparous,Heloderma_horridum,Heloderma,Helodermatidae,363.9,121,-5.058,3.145,1139.408,375.487,22,2,9,7,-102.91,20.97,Cathemeral,28.8,30.2
Heloderma_suspectum,Oviparous,Heloderma_suspectum,Heloderma,Helodermatidae,299.7,136.5,-5.058,3.145,937.499,424.235,13,1,5.7,5,-111.69,32.2,Cathemeral,27.2,30
Hemidactylus_angulatus,Oviparous,Hemidactylus_angulatus,Hemidactylus,Gekkonidae,58,21,-4.242,2.761,155.896,53.739,2,1,2,2,15.74,9.4,Nocturnal,29.4,32.4
Hemidactylus_flaviviridis,Oviparous,Hemidactylus_flaviviridis,Hemidactylus,Gekkonidae,62.9,25.5,-4.242,2.761,169.425,66.164,3,1,2,2,70.71,23.92,Cathemeral,27.2,27.2
Hemidactylus_frenatus,Oviparous,Hemidactylus_frenatus,Hemidactylus,Gekkonidae,52.7,21,-4.242,2.761,141.263,53.739,2,1,2,1.9,104.19,11.35,Nocturnal,24.9,29.1
Hemidactylus_mabouia,Oviparous,Hemidactylus_mabouia,Hemidactylus,Gekkonidae,58.2,22.5,-4.242,2.761,156.448,57.881,2,1,2,1.7,22.53,-3.95,Cathemeral,24.1,34.5
Hemidactylus_turcicus,Oviparous,Hemidactylus_turcicus,Hemidactylus,Gekkonidae,48,23.5,-4.242,2.761,128.286,60.642,3,1,2,2,25.84,30.18,Nocturnal,16.4,31.3
Hemiergis_peronii,Viviparous,Hemiergis_peronii,Hemiergis,Scincidae,62.6,26,-5.125,3.229,197.010,78.829,6,1,3.4,2,127.92,-32.58,Nocturnal,23.6,26.3
Heremites_vittatus,Viviparous,Heremites_vittatus,Heremites,Scincidae,71.2,26,-5.125,3.229,224.780,78.829,10,1,5.2,4.5,29.41,35.93,Diurnal,32,34.5
Hesperoedura_reticulata,Oviparous,Hesperoedura_reticulata,Hesperoedura,Diplodactylidae,64.3,26,-4.804,3.057,191.761,74.678,3,2,2.1,2,118.74,-32.55,Nocturnal,22.5,22.5
Heteronotia_binoei,Oviparous,Heteronotia_binoei,Heteronotia,Gekkonidae,48.1,19.5,-4.242,2.761,128.562,49.598,2,1,2,2,134.05,-24.87,Nocturnal,27,35.3
Holbrookia_elegans,Oviparous,Holbrookia_elegans,Holbrookia,Phrynosomatidae,54,25,-3.855,2.677,140.703,63.070,5,5,5,5,-109.45,28.13,Diurnal,35.9,36.8
Holbrookia_maculata,Oviparous,Holbrookia_maculata,Holbrookia,Phrynosomatidae,54.2,21,-3.855,2.677,141.238,52.362,12,1,10.8,3.5,-103.94,33.43,Diurnal,33,39.5
Holbrookia_propinqua,Oviparous,Holbrookia_propinqua,Holbrookia,Phrynosomatidae,51.7,26.5,-3.855,2.677,134.546,67.086,7,2,4.7,2.8,-98.21,27.93,Diurnal,37.9,37.9
Holcosus_festivus,Oviparous,Holcosus_festivus,Holcosus,Teiidae,88,37,-4.747,3.11,268.933,110.323,10,1,3.5,2,-81.78,10.92,Diurnal,34.4,37.7
Holcosus_quadrilineatus,Oviparous,Holcosus_quadrilineatus,Holcosus,Teiidae,69.1,31,-4.747,3.11,210.154,91.663,4,1,2.1,2,-82.7,9.04,Diurnal,37.3,37.6
Holcosus_undulatus,Oviparous,Holcosus_undulatus,Holcosus,Teiidae,92,34.7,-4.747,3.11,281.373,103.170,9,1,5.3,3.3,-93.99,17.7,Diurnal,37,39.6
Homonota_darwinii,Oviparous,Homonota_darwinii,Homonota,Phyllodactylidae,40.7,21.1,-4.482,2.945,115.380,57.658,1,1,1,1,-68.67,-43.32,Nocturnal,22,29
Hoplodactylus_duvaucelii,Viviparous,Hoplodactylus_duvaucelii,Hoplodactylus,Diplodactylidae,115.9,37.5,-4.804,3.057,349.502,109.834,2,2,2,2,175.35,-39.62,Nocturnal,13.1,25
Iberolacerta_aranica,Oviparous,Iberolacerta_aranica,Iberolacerta,Lacertidae,57.1,25.4,-4.543,2.951,163.959,70.412,5,2,3.4,2.5,1.11,42.78,Diurnal,29.2,29.5
Iberolacerta_aurelioi,Oviparous,Iberolacerta_aurelioi,Iberolacerta,Lacertidae,55.1,28.2,-4.543,2.951,158.057,78.675,4,1,2.5,2.5,1.4,42.63,Diurnal,28.1,28.1
Iberolacerta_bonnali,Oviparous,Iberolacerta_bonnali,Iberolacerta,Lacertidae,55.9,24.4,-4.543,2.951,160.418,67.461,4,1,3,3,0.37,42.72,Diurnal,29,30.9
Iberolacerta_cyreni,Oviparous,Iberolacerta_cyreni,Iberolacerta,Lacertidae,73.9,26.5,-4.543,2.951,213.536,73.659,9,2,7.2,5.4,-4.6,40.58,Diurnal,27.1,29.4
Iberolacerta_horvathi,Oviparous,Iberolacerta_horvathi,Iberolacerta,Lacertidae,56.5,24.8,-4.543,2.951,162.189,68.642,10,1,3.7,3.3,14.16,45.77,Diurnal,28.7,34.5
Iberolacerta_martinezricai,Oviparous,Iberolacerta_martinezricai,Iberolacerta,Lacertidae,60.4,24.8,-4.543,2.951,173.697,68.642,4,4,4,4,-6.19,40.5,Diurnal,33.3,33.3
Iberolacerta_monticola,Oviparous,Iberolacerta_monticola,Iberolacerta,Lacertidae,66.3,24.1,-4.543,2.951,191.108,66.576,10,2,7.2,5.4,-5.39,42.79,Diurnal,29.3,33.6
Iguana_iguana,Oviparous,Iguana_iguana,Iguana,Iguanidae,318.4,77.5,-4.298,2.972,941.987,226.032,71,9,40.6,17,-64.24,-1.76,Diurnal,33,36.2
Intellagama_lesueurii,Oviparous,Intellagama_lesueurii,Intellagama,Agamidae,209.7,47,-4.686,3.105,646.433,141.249,24,3,12,7.4,149.02,-28.61,Diurnal,29.4,29.4
Iphisa_elegans,Oviparous,Iphisa_elegans,Iphisa,Gymnophthalmidae,53.1,27,-5.178,3.302,170.158,83.976,2,1,2,2,-63.42,-4.38,Diurnal,28.2,30.8
Kentropyx_altamazonica,Oviparous,Kentropyx_altamazonica,Kentropyx,Teiidae,86.7,31.9,-4.747,3.11,264.890,94.462,9,2,7,5.3,-66.74,-6.14,Diurnal,34.8,35.9
Kentropyx_calcarata,Oviparous,Kentropyx_calcarata,Kentropyx,Teiidae,91.4,33.5,-4.747,3.11,279.507,99.438,10,1,6.7,3,-56.59,-5.59,Diurnal,34.2,37.6
Kentropyx_pelviceps,Oviparous,Kentropyx_pelviceps,Kentropyx,Teiidae,101.7,37.5,-4.747,3.11,311.540,111.878,8,2,6.5,2.6,-69.83,-4.82,Diurnal,33.9,34.1
Kentropyx_striata,Oviparous,Kentropyx_striata,Kentropyx,Teiidae,82.3,30.5,-4.747,3.11,251.206,90.108,12,2,5.8,2.3,-60.44,3.22,Diurnal,35.7,38.2
Lacerta_agilis,Oviparous,Lacerta_agilis,Lacerta,Lacertidae,77.6,27,-4.543,2.951,224.455,75.134,21,1,11.5,5.3,53.43,52.17,Diurnal,29.8,34.6
Lacerta_media,Oviparous,Lacerta_media,Lacerta,Lacertidae,113.7,32,-4.543,2.951,330.986,89.889,18,1,12.4,10,42.89,38.04,Diurnal,26.1,26.1
Lacerta_schreiberi,Oviparous,Lacerta_schreiberi,Lacerta,Lacertidae,111,30.8,-4.543,2.951,323.018,86.348,24,4,13.7,11,-6.18,41.22,Diurnal,31,31.1
Lacerta_trilineata,Oviparous,Lacerta_trilineata,Lacerta,Lacertidae,110.7,42,-4.543,2.951,322.133,119.399,30,3,10,8,25.96,40.5,Diurnal,31.3,32.3
Lacerta_viridis,Oviparous,Lacerta_viridis,Lacerta,Lacertidae,102.4,32.5,-4.543,2.951,297.639,91.365,24,4,12.9,5.1,24.12,45.45,Diurnal,33.9,33.9
Lamprolepis_smaragdina,Oviparous,Lamprolepis_smaragdina,Lamprolepis,Scincidae,89,36,-5.125,3.229,282.256,111.119,6,1,2.2,1.9,129.67,2.71,Diurnal,30.3,30.3
Lampropholis_delicata,Oviparous,Lampropholis_delicata,Lampropholis,Scincidae,40,17.6,-5.125,3.229,124.035,51.705,8,1,4.7,2,148.44,-29.41,Diurnal,26.1,26.1
Lampropholis_guichenoti,Oviparous,Lampropholis_guichenoti,Lampropholis,Scincidae,40.5,19,-5.125,3.229,125.650,56.226,6,1,3.8,1.8,147.72,-34.08,Diurnal,26.8,33.8
Lankascincus_fallax,Oviparous,Lankascincus_fallax,Lankascincus,Scincidae,39.2,18.3,-5.125,3.229,121.452,53.966,2,1,2,1.8,80.71,7.65,Diurnal,22.5,22.5
Latastia_longicaudata,Oviparous,Latastia_longicaudata,Latastia,Lacertidae,85.5,32.5,-4.543,2.951,247.768,91.365,10,3,6.8,6.8,24,12.48,Diurnal,37.8,37.8
Laudakia_tuberculata,Oviparous,Laudakia_tuberculata,Laudakia,Agamidae,112.9,30.5,-4.686,3.105,345.869,90.017,15,4,9.9,8.9,77.67,32.36,Diurnal,33.1,34.6
Leiocephalus_carinatus,Oviparous,Leiocephalus_carinatus,Leiocephalus,Leiocephalidae,91.1,34,-5.033,3.243,290.404,105.229,11,1,4.1,4,-78.75,21.91,Diurnal,33.2,35.6
Leiocephalus_schreibersii,Oviparous,Leiocephalus_schreibersii,Leiocephalus,Leiocephalidae,59.7,29.5,-5.033,3.243,188.574,90.636,4,1,2.5,2.5,-71.97,19.05,Diurnal,34.9,37.6
Leiocephalus_semilineatus,Oviparous,Leiocephalus_semilineatus,Leiocephalus,Leiocephalidae,42.2,25,-5.033,3.243,131.822,76.042,4,1,1.8,1.8,-71.2,18.51,Diurnal,36.1,37
Leiocephalus_stictigaster,Oviparous,Leiocephalus_stictigaster,Leiocephalus,Leiocephalidae,55.1,22.8,-5.033,3.243,173.656,68.907,2,1,1.3,1.3,-78.92,21.57,Diurnal,34.3,34.6
Lepidodactylus_lugubris,Oviparous,Lepidodactylus_lugubris,Lepidodactylus,Gekkonidae,40.6,17.5,-4.242,2.761,107.855,44.076,3,1,2,1,104.63,12.59,Nocturnal,26.5,32.5
Lerista_bipes,Oviparous,Lerista_bipes,Lerista,Scincidae,52.7,24.5,-5.125,3.229,165.043,73.986,3,2,2.3,2,127.08,-22.29,Nocturnal,31.2,31.2
Lerista_punctatovittata,Oviparous,Lerista_punctatovittata,Lerista,Scincidae,95.3,39,-5.125,3.229,302.599,120.806,5,1,3.3,1,145.15,-30.08,Cathemeral,30.4,30.4
Lialis_burtonis,Oviparous,Lialis_burtonis,Lialis,Pygopodidae,199.3,70.5,-2.039,1.371,271.201,94.617,3,1,2,1.7,134.33,-25.05,Cathemeral,29,29
Liolaemus_andinus,Viviparous,Liolaemus_andinus,Liolaemus,Liolaemidae,85.6,28,-4.678,3.097,260.425,82.038,6,5,5.8,5.8,-67.79,-24.86,Diurnal,30.6,30.6
